"priority","cluster","slug","url","total_clicks","total_impressions","sources","has_legacy_content","legacy_datasets","legacy_titles","recommended_action"
"P1","Recursos y plantillas","temas-de-salud-de-enfermeria","https://serenfermera.com/temas-de-salud-de-enfermeria/","29","284","PageTrafficReport","False","","","Crear desde cero"
"P1","Conceptos y fundamentos de enfermeria","actividades-de-enfermeria-en-centro-de-salud","https://serenfermera.com/actividades-de-enfermeria-en-centro-de-salud","28","839","SiteExplorerUrls","False","","","Crear desde cero"
"P1","Cuidados clinicos y procedimientos","plan-de-cuidados-enfermeria-duelo","https://serenfermera.com/plan-de-cuidados-enfermeria-duelo","28","655","SiteExplorerUrls","False","","","Crear desde cero"
"P1","Conceptos y fundamentos de enfermeria","9-divertidos-y-educativos-juegos-de-enfermeria","https://serenfermera.com/9-divertidos-y-educativos-juegos-de-enfermeria","27","259","SiteExplorerUrls","False","","","Crear desde cero"
"P1","Cuidados clinicos y procedimientos","como-hacer-una-hoja-de-cuidados-de-enfermeria","https://serenfermera.com/como-hacer-una-hoja-de-cuidados-de-enfermeria","27","2431","SiteExplorerUrls","False","","","Crear desde cero"
"P1","Etica, liderazgo y habilidades","cuidado-humanizado-en-enfermeria","https://serenfermera.com/cuidado-humanizado-en-enfermeria/","27","367","PageTrafficReport","False","","","Crear desde cero"
"P1","Carrera y desarrollo profesional","auxiliar-de-enfermeria-colombia","https://serenfermera.com/auxiliar-de-enfermeria-colombia","26","450","SiteExplorerUrls","False","","","Crear desde cero"
"P1","Cuidados clinicos y procedimientos","lavado-gastrico-tecnica-enfermeria","https://serenfermera.com/lavado-gastrico-tecnica-enfermeria","25","1297","SiteExplorerUrls","False","","","Crear desde cero"
"P1","Recursos y plantillas","practica-basada-en-evidencia-en-ejemplos-de-enfermeria","https://serenfermera.com/practica-basada-en-evidencia-en-ejemplos-de-enfermeria","24","502","SiteExplorerUrls","True","nursingprocess-blog","Comprender la práctica basada en la evidencia en enfermería + 10 ejemplos","Reescribir desde legacy util"
"P1","Cuidados clinicos y procedimientos","10-cuidados-de-enfermeria-en-diabetes","https://serenfermera.com/10-cuidados-de-enfermeria-en-diabetes","24","685","SiteExplorerUrls","False","","","Crear desde cero"
"P1","Cuidados clinicos y procedimientos","angioplastia-cuidados-de-enfermeria","https://serenfermera.com/angioplastia-cuidados-de-enfermeria","22","333","SiteExplorerUrls","False","","","Crear desde cero"
"P1","Cuidados clinicos y procedimientos","cuidados-de-enfermeria-en-ninos-con-tdah","https://serenfermera.com/cuidados-de-enfermeria-en-ninos-con-tdah","22","225","SiteExplorerUrls","False","","","Crear desde cero"
"P1","Cuidados clinicos y procedimientos","cuidados-de-enfermeria-en-deterioro-de-la-movilidad-fisica","https://serenfermera.com/cuidados-de-enfermeria-en-deterioro-de-la-movilidad-fisica","22","706","SiteExplorerUrls","False","","","Crear desde cero"
"P1","Conceptos y fundamentos de enfermeria","proceso-salud-enfermedad-en-enfermeria","https://serenfermera.com/proceso-salud-enfermedad-en-enfermeria/","21","539","PageTrafficReport","False","","","Crear desde cero"
"P1","Etica, liderazgo y habilidades","veracidad-en-la-enfermeria","https://serenfermera.com/veracidad-en-la-enfermeria","21","288","SiteExplorerUrls","True","nursingprocess-blog","Veracidad en enfermería: qué es, por qué es importante y ejemplos","Reescribir desde legacy util"
"P1","Cuidados clinicos y procedimientos","evaluacion-del-plan-de-cuidados-de-enfermeria","https://serenfermera.com/evaluacion-del-plan-de-cuidados-de-enfermeria","21","372","SiteExplorerUrls","False","","","Crear desde cero"
"P1","Carrera y desarrollo profesional","que-es-gestion-del-cuidado-de-enfermeria","https://serenfermera.com/que-es-gestion-del-cuidado-de-enfermeria/","21","290","PageTrafficReport","False","","","Crear desde cero"
"P1","Cuidados clinicos y procedimientos","ketamina-cuidados-de-enfermeria","https://serenfermera.com/ketamina-cuidados-de-enfermeria","20","170","SiteExplorerUrls","False","","","Crear desde cero"
"P1","Cuidados clinicos y procedimientos","cuidados-de-enfermeria-en-sonda-vesical","https://serenfermera.com/cuidados-de-enfermeria-en-sonda-vesical","20","956","SiteExplorerUrls","False","","","Crear desde cero"
"P1","Cuidados clinicos y procedimientos","cuidados-de-enfermeria-hiperglucemia","https://serenfermera.com/cuidados-de-enfermeria-hiperglucemia","20","342","SiteExplorerUrls","False","","","Crear desde cero"
"P1","Cuidados clinicos y procedimientos","cuidados-de-enfermeria-post-parto-cesarea","https://serenfermera.com/cuidados-de-enfermeria-post-parto-cesarea","20","458","SiteExplorerUrls","False","","","Crear desde cero"
"P1","Carrera y desarrollo profesional","supervisora-enfermeria-gestion-de-cuidados","https://serenfermera.com/supervisora-enfermeria-gestion-de-cuidados","20","793","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Recursos y plantillas","caso-practico-fuden-cuidados-enfermeria-en-urgencias-modulo-i-respuestas","https://serenfermera.com/caso-practico-fuden-cuidados-enfermeria-en-urgencias-modulo-i-respuestas","19","339","PageTrafficReport|SiteExplorerUrls","False","","","Crear desde cero"
"P2","Cuidados clinicos y procedimientos","cuidados-de-enfermeria-toma-de-signos-vitales","https://serenfermera.com/cuidados-de-enfermeria-toma-de-signos-vitales/","19","858","PageTrafficReport","False","","","Crear desde cero"
"P2","Cuidados clinicos y procedimientos","persistencia-del-conducto-arterioso-cuidados-de-enfermeria","https://serenfermera.com/persistencia-del-conducto-arterioso-cuidados-de-enfermeria","19","136","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Cuidados clinicos y procedimientos","cuidados-de-enfermeria-en-pacientes-inconscientes","https://serenfermera.com/cuidados-de-enfermeria-en-pacientes-inconscientes","19","861","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","cuales-son-las-manipulaciones-basicas-utilizadas-en-el-masaje","https://serenfermera.com/cuales-son-las-manipulaciones-basicas-utilizadas-en-el-masaje","19","232","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Cuidados clinicos y procedimientos","cuidados-de-enfermeria-en-el-puerperio","https://serenfermera.com/cuidados-de-enfermeria-en-el-puerperio/","18","246","PageTrafficReport","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","procedimientos-y-tecnicas-basicas-de-enfermeria","https://serenfermera.com/procedimientos-y-tecnicas-basicas-de-enfermeria/","18","469","PageTrafficReport","False","","","Crear desde cero"
"P2","Carrera y desarrollo profesional","ciclo-auxiliar-de-enfermeria-plan-de-estuidos","https://serenfermera.com/ciclo-auxiliar-de-enfermeria-plan-de-estuidos","18","236","PageTrafficReport|SiteExplorerUrls","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","para-que-se-utiliza-rhus-tox-en-homeopatia","https://serenfermera.com/para-que-se-utiliza-rhus-tox-en-homeopatia","18","310","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Cuidados clinicos y procedimientos","alzheimer-cuidados-de-enfermeria","https://serenfermera.com/alzheimer-cuidados-de-enfermeria","17","414","PageTrafficReport|SiteExplorerUrls","False","","","Crear desde cero"
"P2","Cuidados clinicos y procedimientos","cuidados-de-enfermeria-en-dialisis-peritoneal-y-hemodialisis","https://serenfermera.com/cuidados-de-enfermeria-en-dialisis-peritoneal-y-hemodialisis","17","320","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","2000-preguntas-auxiliar-enfermeria","https://serenfermera.com/2000-preguntas-auxiliar-enfermeria","17","260","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","entapa-tecnica-enfermeria","https://serenfermera.com/entapa-tecnica-enfermeria","17","467","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Etica, liderazgo y habilidades","comunicacion-terapeutica-en-enfermeria","https://serenfermera.com/comunicacion-terapeutica-en-enfermeria","17","687","SiteExplorerUrls","True","nursingprocess-blog","Las 30 mejores técnicas de comunicación terapéutica en enfermería + cómo usarlas","Reescribir desde legacy util"
"P2","Conceptos y fundamentos de enfermeria","resumen-evolucion-historica-del-tecnico-en-cuidados-auxiliares-de-enfermeria","https://serenfermera.com/resumen-evolucion-historica-del-tecnico-en-cuidados-auxiliares-de-enfermeria","16","242","PageTrafficReport|SiteExplorerUrls","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","valoracion-enfermeria-en-salud-mental-objetivos","https://serenfermera.com/valoracion-enfermeria-en-salud-mental-objetivos","16","195","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","que-es-el-cuidado-de-la-enfermeria-definicion","https://serenfermera.com/que-es-el-cuidado-de-la-enfermeria-definicion/","16","227","PageTrafficReport","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","tablon-en-blanco-actualizacion-para-enfermeria-de-salud-mental","https://serenfermera.com/tablon-en-blanco-actualizacion-para-enfermeria-de-salud-mental","16","2889","PageTrafficReport|SiteExplorerUrls","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","caducan-las-pastillas-homeopaticas","https://serenfermera.com/caducan-las-pastillas-homeopaticas","16","121","Paginas|SiteExplorerUrls","False","","","Crear desde cero"
"P2","Cuidados clinicos y procedimientos","scq-cuidados-de-enfermeria-quemados","https://serenfermera.com/scq-cuidados-de-enfermeria-quemados","16","658","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Cuidados clinicos y procedimientos","intervenciones-de-enfermeria-en-cuidados-paliativos","https://serenfermera.com/intervenciones-de-enfermeria-en-cuidados-paliativos","16","239","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Carrera y desarrollo profesional","clases-de-la-escuela-de-enfermeria-que-tomas","https://serenfermera.com/clases-de-la-escuela-de-enfermeria-que-tomas","15","168","SiteExplorerUrls","True","nursingprocess-blog","24 clases que tomas en la escuela de enfermería y consejos para superarlas","Reescribir desde legacy util"
"P2","Cuidados clinicos y procedimientos","gastroenteritis-cuidados-de-enfermeria","https://serenfermera.com/gastroenteritis-cuidados-de-enfermeria","15","274","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Carrera y desarrollo profesional","hidroterapia-auxiliar-de-enfermeria","https://serenfermera.com/hidroterapia-auxiliar-de-enfermeria","15","81","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","rol-del-tecnico-de-enfermeria-en-emergencia","https://serenfermera.com/rol-del-tecnico-de-enfermeria-en-emergencia","15","105","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Cuidados clinicos y procedimientos","cuidados-de-enfermeria-post-radioterapia","https://serenfermera.com/cuidados-de-enfermeria-post-radioterapia","15","228","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Carrera y desarrollo profesional","utensilios-de-auxiliar-de-enfermeria","https://serenfermera.com/utensilios-de-auxiliar-de-enfermeria","15","315","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","protocolo-de-cuidados-auxiliaresde-enfermeria","https://serenfermera.com/protocolo-de-cuidados-auxiliaresde-enfermeria/","14","33","PageTrafficReport","False","","","Crear desde cero"
"P2","Etica, liderazgo y habilidades","puede-un-fisioterapeuta-ordenar-una-resonancia-magnetica","https://serenfermera.com/puede-un-fisioterapeuta-ordenar-una-resonancia-magnetica","14","248","Paginas|SiteExplorerUrls","False","","","Crear desde cero"
"P2","Cuidados clinicos y procedimientos","modelos-de-cuidados-de-enfermeria-en-el-siglo-xx","https://serenfermera.com/modelos-de-cuidados-de-enfermeria-en-el-siglo-xx","14","358","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","tecnicas-enfermeria-urgencias-y-emergencia","https://serenfermera.com/tecnicas-enfermeria-urgencias-y-emergencia","14","414","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Carrera y desarrollo profesional","cronograma-de-actividades-de-auxiliar-de-enfermeria","https://serenfermera.com/cronograma-de-actividades-de-auxiliar-de-enfermeria","14","272","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Cuidados clinicos y procedimientos","plantilla-plan-de-cuidados-enfermeria-post-operado","https://serenfermera.com/plantilla-plan-de-cuidados-enfermeria-post-operado","14","247","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","tecnica-cateter-enfermeria","https://serenfermera.com/tecnica-cateter-enfermeria","13","1311","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","epi-equipo-de-proteccion-individual-auxiliar-enfermeria","https://serenfermera.com/epi-equipo-de-proteccion-individual-auxiliar-enfermeria","13","304","PageTrafficReport|SiteExplorerUrls","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","definicion-de-tecnico-en-enfermeria","https://serenfermera.com/definicion-de-tecnico-en-enfermeria","13","399","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","funciones-y-tecnicas-asistenciales-del-personal-de-enfermeria-atencion-primari","https://serenfermera.com/funciones-y-tecnicas-asistenciales-del-personal-de-enfermeria-atencion-primari/","13","221","PageTrafficReport","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","intervenciones-enfermeria-en-cuidados-domiciliarios","https://serenfermera.com/intervenciones-enfermeria-en-cuidados-domiciliarios","13","586","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Cuidados clinicos y procedimientos","cuidados-de-enfermeria-en-pacientes-con-neumonia-nosocomial","https://serenfermera.com/cuidados-de-enfermeria-en-pacientes-con-neumonia-nosocomial","13","460","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Cuidados clinicos y procedimientos","plan-de-cuidados-de-enfermeria-varices","https://serenfermera.com/plan-de-cuidados-de-enfermeria-varices","13","133","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","enfermera-del-ejercito","https://serenfermera.com/enfermera-del-ejercito","13","193","SiteExplorerUrls","True","nursingprocess-blog","10 pros y contras de ser enfermero militar + Salario + Pasos para convertirte","Reescribir desde legacy util"
"P2","Conceptos y fundamentos de enfermeria","cuidados-individualizados-enfermeria","https://serenfermera.com/cuidados-individualizados-enfermeria","13","313","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Cuidados clinicos y procedimientos","traumatismo-obstetrico-cuidados-de-enfermeria","https://serenfermera.com/traumatismo-obstetrico-cuidados-de-enfermeria","13","471","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Etica, liderazgo y habilidades","fidelidad-en-la-enfermeria","https://serenfermera.com/fidelidad-en-la-enfermeria","12","132","SiteExplorerUrls","True","nursingprocess-blog","Fidelidad en enfermería: qué es, por qué es importante y ejemplos","Reescribir desde legacy util"
"P2","Carrera y desarrollo profesional","programa-salud-enfermeria-salud-publica","https://serenfermera.com/programa-salud-enfermeria-salud-publica","12","188","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","metaparadigma-de-enfermeria-cuidado","https://serenfermera.com/metaparadigma-de-enfermeria-cuidado/","12","494","PageTrafficReport","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","que-codigos-cpt-se-utilizan-para-la-fisioterapia","https://serenfermera.com/que-codigos-cpt-se-utilizan-para-la-fisioterapia","12","428","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Cuidados clinicos y procedimientos","plan-de-cuidados-de-enfermeria-postoperatorio","https://serenfermera.com/plan-de-cuidados-de-enfermeria-postoperatorio/","12","799","PageTrafficReport","False","","","Crear desde cero"
"P2","Etica, liderazgo y habilidades","negligencia-en-enfermeria-por-falta-de-cuidados","https://serenfermera.com/negligencia-en-enfermeria-por-falta-de-cuidados","12","334","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","plan-cuidados-enfermeria-alergia","https://serenfermera.com/plan-cuidados-enfermeria-alergia","12","326","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Cuidados clinicos y procedimientos","cuidados-de-enfermeria-en-la-sedacion","https://serenfermera.com/cuidados-de-enfermeria-en-la-sedacion","12","260","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","longitud-unas-auxiliar-enfermeria","https://serenfermera.com/longitud-unas-auxiliar-enfermeria","12","223","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Etica, liderazgo y habilidades","cualidades-de-liderazgo-en-enfermeria","https://serenfermera.com/cualidades-de-liderazgo-en-enfermeria","12","159","SiteExplorerUrls","True","nursingprocess-blog","22 cualidades de liderazgo en enfermería que toda enfermera líder debe tener en 2022","Reescribir desde legacy util"
"P2","Carrera y desarrollo profesional","define-signo-y-sontomas-y-ejemplos-de-auxiliar-de-enfermeria","https://serenfermera.com/define-signo-y-sontomas-y-ejemplos-de-auxiliar-de-enfermeria/","11","205","PageTrafficReport","False","","","Crear desde cero"
"P2","Carrera y desarrollo profesional","requisitos-para-trabajar-como-auxiliar-de-enfermeria","https://serenfermera.com/requisitos-para-trabajar-como-auxiliar-de-enfermeria","11","177","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Cuidados clinicos y procedimientos","cuidados-de-enfermeria-en-el-paciente-quirurgico-transoperatorio","https://serenfermera.com/cuidados-de-enfermeria-en-el-paciente-quirurgico-transoperatorio/","11","272","PageTrafficReport","False","","","Crear desde cero"
"P2","Cuidados clinicos y procedimientos","vaginitis-cuidados-de-enfermeria","https://serenfermera.com/vaginitis-cuidados-de-enfermeria","11","124","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","revision-bibliografica-cuidados-enfermeria","https://serenfermera.com/revision-bibliografica-cuidados-enfermeria","11","132","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","cuidados-enfermeria-atropina","https://serenfermera.com/cuidados-enfermeria-atropina","11","124","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Cuidados clinicos y procedimientos","frases-celebres-sobre-cuidados-paliativos-enfermeria","https://serenfermera.com/frases-celebres-sobre-cuidados-paliativos-enfermeria","11","255","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Cuidados clinicos y procedimientos","cuidados-de-enfermeria-nic-noc-nanda-paliativos","https://serenfermera.com/cuidados-de-enfermeria-nic-noc-nanda-paliativos","11","111","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Cuidados clinicos y procedimientos","plan-de-cuidados-de-enfermeria-de-neumonia-en-pediatria","https://serenfermera.com/plan-de-cuidados-de-enfermeria-de-neumonia-en-pediatria","11","166","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Cuidados clinicos y procedimientos","cuidados-de-enfermeria-en-candidiasis-vaginal","https://serenfermera.com/cuidados-de-enfermeria-en-candidiasis-vaginal","10","129","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","que-significa-necesidad-de-cuidados-en-enfermeria","https://serenfermera.com/que-significa-necesidad-de-cuidados-en-enfermeria","10","193","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Cuidados clinicos y procedimientos","quetiapina-cuidados-de-enfermeria","https://serenfermera.com/quetiapina-cuidados-de-enfermeria","10","105","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","mnemotecnia-auxiliar-enfermeria","https://serenfermera.com/mnemotecnia-auxiliar-enfermeria","10","269","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","peliculas-cuidados-enfermeria","https://serenfermera.com/peliculas-cuidados-enfermeria","10","798","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","humanizacion-cuidados-enfermeria-citas","https://serenfermera.com/humanizacion-cuidados-enfermeria-citas","10","218","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Cuidados clinicos y procedimientos","cuidados-post-cesarea-enfermeria","https://serenfermera.com/cuidados-post-cesarea-enfermeria","10","558","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","cuidado-personal-para-las-enfermeras","https://serenfermera.com/cuidado-personal-para-las-enfermeras","10","317","SiteExplorerUrls","True","nursingprocess-blog","Autocuidado para enfermeras: 25 estrategias comprobadas para cuidarse mejor","Reescribir desde legacy util"
"P2","Conceptos y fundamentos de enfermeria","comeptencias-enfermeria-salud-mental","https://serenfermera.com/comeptencias-enfermeria-salud-mental","10","145","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Cuidados clinicos y procedimientos","cuidados-de-enfermeria-en-pacientes-con-paralisis-cerebral","https://serenfermera.com/cuidados-de-enfermeria-en-pacientes-con-paralisis-cerebral","10","169","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","enfermeria-cuidados-generales-con-los-farmacos","https://serenfermera.com/enfermeria-cuidados-generales-con-los-farmacos","10","500","SiteExplorerUrls","False","","","Crear desde cero"
"P3","Carrera y desarrollo profesional","preguntas-que-hacer-en-una-entrevista-de-enfermeria","https://serenfermera.com/preguntas-que-hacer-en-una-entrevista-de-enfermeria","9","264","SiteExplorerUrls","True","nursingprocess-blog","Más de 100 preguntas inteligentes para hacer en una entrevista de enfermería en 2022","Reescribir desde legacy util"
"P3","Carrera y desarrollo profesional","que-hace-una-enfermera-practicante","https://serenfermera.com/que-hace-una-enfermera-practicante","9","387","SiteExplorerUrls","True","nursingprocess-blog","¿Qué hace una enfermera practicante? (Deberes NP por Especialidad)","Reescribir desde legacy util"
